hydrophone1,hydrophone2,hydrophone3,hydrophone4,hydrophone5
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
"[-300.0, -286.0, -12.0, -2.0, -8.0, 6.0, -8.0, 2.0, -6.0, 2.0, -6.0, 4.0, -8.0, 6.0, -8.0, 4.0, -6.0, 6.0, -8.0, 6.0, -6.0, 6.0, -4.0, 4.0, 0.0, 18.0, -8.0, -2.0, -8.0, 0.0, -6.0, 2.0, -6.0, 0.0, -4.0, 4.0, -6.0, 4.0, -4.0, 4.0, -4.0, 6.0, -8.0, 2.0, -6.0, 0.0, -6.0, 4.0, -4.0, 6.0, -6.0, -2.0, -4.0, 2.0, -6.0, 4.0, -6.0, 0.0, -4.0, 2.0, -4.0, 2.0, -2.0, 4.0, 0.0, 2.0, -6.0, 2.0, -4.0, 2.0, -2.0, 2.0, -2.0, 2.0, -2.0, 6.0, -2.0, 2.0, -2.0, 2.0, 0.0, 2.0, 0.0, 4.0, 2.0, 2.0, 0.0, 2.0, 0.0, 4.0, -2.0, 4.0, 0.0, 4.0, 0.0, 0.0, 0.0, 4.0, 0.0, 4.0, 2.0, 4.0, 2.0, 2.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 6.0, 6.0, 4.0, 0.0, 6.0, 2.0, 4.0, 2.0, 6.0, 4.0, 8.0, 2.0, 8.0, 2.0, 8.0, 2.0, 10.0, 2.0, 12.0, 6.0, 14.0, 6.0, 14.0, 6.0, 14.0, 6.0, 16.0, 0.0, 18.0, 4.0, 20.0, 4.0, 20.0, 6.0, 20.0, 4.0, 22.0, 6.0, 24.0, 4.0, 28.0, 4.0, 30.0, 6.0, 32.0, 8.0, 34.0, 8.0, 38.0, 8.0, 40.0, 14.0, 46.0, 10.0, 58.0, 10.0, 62.0, 14.0, 70.0, 16.0, 84.0, 18.0, 100.0, 20.0, 118.0, 16.0, 156.0, 34.0, 210.0, 42.0, 310.0, 62.0, 578.0, 110.0, 3436.0, 636.0, -914.0, -166.0, -408.0, -74.0, -266.0, -50.0, -198.0, -36.0, -154.0, -36.0, -136.0, -22.0, -118.0, -22.0, -102.0, -20.0, -92.0, -18.0, -86.0, -18.0, -76.0, -14.0, -70.0, -14.0, -70.0, -14.0, -66.0, -12.0, -64.0, -10.0, -58.0, -12.0, -52.0, -10.0, -50.0, -10.0, -52.0, -10.0, -48.0, -10.0, -48.0, -10.0, -46.0, -10.0, -44.0, -10.0, -42.0, -8.0, -38.0, -8.0, -42.0, -8.0, -40.0, -10.0, -38.0, -8.0, -36.0, -8.0, -36.0, -10.0, -34.0, -8.0, -36.0, -8.0, -34.0, -8.0, -32.0, -6.0, -32.0, -6.0, -30.0, -6.0, -30.0, -6.0, -28.0, -6.0, -30.0, -6.0, -28.0, -6.0, -28.0, -8.0, -28.0, -6.0, -26.0, -6.0, -26.0, -6.0, -26.0, -6.0, -28.0, -6.0, -26.0, -6.0, -26.0, -4.0, -26.0, -4.0, -24.0, -6.0, -26.0, -6.0, -24.0, -4.0, -24.0, -2.0, -24.0, -10.0, -24.0, -6.0, -24.0, -6.0, -22.0, -6.0, -24.0, -8.0, -24.0, -6.0, -24.0, -6.0, -24.0, -6.0, -22.0, -6.0, -22.0, -4.0, -22.0, -6.0, -22.0, -6.0, -20.0, -6.0, -22.0, -8.0, -22.0, -6.0, -22.0, -6.0, -18.0, -6.0, -22.0, -6.0, -22.0, -6.0, -20.0, -6.0, -20.0, -6.0, -20.0, -6.0, -20.0, -8.0, -18.0, -6.0, -18.0, -6.0, -20.0, -6.0, -20.0, -6.0, -18.0, -8.0, -20.0, -2.0, -20.0, -8.0, -18.0, -8.0, -18.0, -6.0, -18.0, -8.0, -20.0, -8.0, -18.0, -6.0, -18.0, -8.0, -22.0, -6.0, -16.0, -6.0, -18.0, -8.0, -16.0, -8.0, -16.0, -10.0, -20.0, -6.0, -20.0, -6.0, -20.0, -8.0, -18.0, -6.0, -16.0, -8.0, -16.0, -10.0, -18.0, -8.0, -18.0, -8.0, -18.0, -6.0, -16.0, -8.0, -16.0, -8.0, -18.0, -8.0, -16.0, -10.0, -16.0, -8.0, -16.0, -8.0, -18.0, -8.0, -14.0, -10.0, -16.0, -8.0, -18.0, -8.0, -18.0, -8.0, -18.0, -10.0, -20.0, -10.0, -18.0, -8.0, -18.0, -10.0, -16.0, -8.0, -18.0, -8.0, -16.0, -10.0, -18.0, -10.0, -20.0, -8.0, -18.0, -10.0, -16.0, -8.0, -16.0, -10.0, -16.0, -10.0, -18.0, -10.0, -16.0, -8.0, -18.0, -10.0, -16.0, -10.0, -16.0, -12.0, -18.0, -10.0, -22.0, -12.0, -36.0, -22.0, -4.0, 0.0, -10.0, -4.0, -12.0, -6.0, -12.0, -6.0, -14.0, -6.0, -14.0, -10.0, -14.0, -8.0, -14.0, -10.0, -14.0, -6.0, -16.0, -10.0, -14.0, -8.0, -12.0, -8.0, -16.0, -12.0, -16.0, -10.0, -14.0, -10.0, -16.0, -10.0, -12.0, -10.0, -14.0, -8.0, -14.0, -8.0, -14.0, -10.0, -16.0, -8.0, -14.0, -10.0, -16.0, -8.0, -14.0, -10.0, -14.0, -6.0, -14.0, -10.0, -16.0, -12.0, -14.0, -12.0, -14.0, -12.0, -14.0, -12.0, -14.0, -10.0, -12.0, -10.0, -14.0, -10.0, -16.0, -10.0, -14.0, -12.0, -14.0, -10.0, -16.0, -8.0, -14.0, -12.0, -14.0, -12.0, -14.0, -12.0, -14.0, -12.0, -14.0, -12.0, -14.0, -12.0, -14.0, -10.0, -12.0, -10.0, -14.0, -14.0, -16.0, -12.0, -14.0, -14.0, -14.0, -14.0, -16.0, -12.0, -14.0, -14.0, -16.0, -12.0, -16.0, -14.0, -12.0, -10.0, -12.0, -14.0, -16.0, -12.0, -12.0, -12.0, -12.0, -12.0, -16.0, -12.0, -16.0, -12.0, -14.0, -12.0, -16.0, -12.0, -14.0, -12.0, -14.0, -16.0, -16.0, -14.0, -14.0, -12.0, -14.0, -14.0, -14.0, -16.0, -14.0, -12.0, -16.0, -12.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -16.0, -16.0, -14.0, -14.0, -12.0, -14.0, -12.0, -14.0, -12.0, -16.0, -16.0, -14.0, -16.0, -14.0, -14.0, -16.0, -18.0, -10.0, -12.0, -18.0, -12.0, -18.0, -12.0, -18.0, -12.0, -18.0, -14.0, -18.0, -12.0, -18.0, -12.0, -20.0, -14.0, -20.0, -14.0, -18.0, -14.0, -18.0, -12.0, -20.0, -12.0, -24.0, -20.0, -4.0, -20.0, -18.0, -14.0, -14.0, -14.0, -16.0, -14.0, -18.0, -16.0, -20.0, -12.0, -20.0, -14.0, -20.0, -16.0, -16.0, -14.0, -18.0, -16.0, -20.0, -16.0, -22.0, 2.0, -16.0, -12.0, -18.0, -14.0, -20.0, -12.0, -22.0, -14.0, -20.0, -14.0, -22.0, -14.0, -20.0, -12.0, -22.0, -12.0, -22.0, -12.0, -22.0, -14.0, -22.0, -14.0, -22.0, -12.0, -18.0, -16.0, -26.0, -16.0, -24.0, -14.0, -24.0, -14.0, -24.0, -12.0, -24.0, -16.0, -24.0, -14.0, -26.0, -12.0, -26.0, -16.0, -26.0, -14.0, -26.0, -16.0, -28.0, -16.0, -28.0, -12.0, -26.0, -12.0, -26.0, -14.0, -30.0, -14.0, -28.0, -18.0, -30.0, -16.0, -30.0, -14.0, -30.0, -16.0, -30.0, -14.0, -30.0, -12.0, -30.0, -16.0, -34.0, -16.0, -36.0, -18.0, -28.0, -14.0, -32.0, -16.0, -36.0, -16.0, -36.0, -18.0, -36.0, -14.0, -36.0, -18.0, -40.0, -16.0, -40.0, -12.0, -38.0, -16.0, -38.0, -16.0, -42.0, -18.0, -42.0, -18.0, -44.0, -20.0, -44.0, -16.0, -48.0, -20.0, -50.0, -20.0, -52.0, -20.0, -52.0, -18.0, -56.0, -18.0, -58.0, -18.0, -52.0, -20.0, -60.0, -22.0, -64.0, -22.0, -68.0, -20.0, -72.0, -22.0, -70.0, -24.0, -76.0, -24.0, -74.0, -24.0, -80.0, -26.0, -86.0, -22.0, -96.0, -26.0, -102.0, -28.0, -112.0, -30.0, -110.0, -30.0, -120.0, -36.0, -142.0, -38.0, -152.0, -44.0, -170.0, -46.0, -196.0, -44.0, -232.0, -72.0, -264.0, -72.0, -346.0, -98.0, -472.0, -142.0, -734.0, -312.0, -1666.0, 1172.0, 6368.0, 196.0, 1088.0, 108.0, 594.0, 72.0, 406.0, 58.0, 308.0, 26.0, 238.0, 32.0, 204.0, 28.0, 176.0, 22.0, 148.0, 20.0, 134.0, 12.0, 128.0, 14.0, 106.0, 18.0, 96.0, 10.0, 92.0, 6.0, 88.0, 10.0, 80.0, 8.0, 74.0, 4.0, 68.0, 4.0, 64.0, 4.0, 60.0, 4.0, 54.0, 2.0, 58.0, 0.0, 56.0, 0.0, 52.0, -4.0, 48.0, 4.0, 46.0, 4.0, 44.0, 2.0, 44.0, 2.0, 42.0, -2.0, 38.0, -2.0, 36.0, 0.0, 36.0, -2.0, 34.0, 0.0, 30.0, -4.0, 30.0, -2.0, 32.0, -6.0, 26.0, 4.0, 28.0, 0.0, 26.0, -2.0, 26.0, 0.0, 24.0, -2.0, 28.0, -2.0, 24.0, -4.0, 24.0, -2.0, 22.0, 0.0, 20.0, -2.0, 20.0, -4.0, 20.0, -2.0, 20.0, -2.0, 18.0, -4.0, 18.0, 0.0, 20.0, -2.0, 20.0, -8.0, 18.0, -4.0, 18.0, -2.0, 14.0, -6.0, 16.0, 0.0, 16.0, -4.0, 16.0, -4.0, 16.0, -6.0, 14.0, -6.0, 12.0, -4.0, 16.0, -2.0, 16.0, -4.0, 14.0, -4.0, 14.0, -6.0, 12.0, -4.0, 12.0, -6.0, 12.0, -8.0, 12.0, -2.0, 12.0, 0.0, 14.0, -6.0, 12.0, -2.0, 10.0, -2.0, 12.0, -2.0, 12.0, -4.0, 12.0, -4.0, 12.0, -6.0, 10.0, -4.0, 10.0, -4.0, 8.0, -8.0, 6.0, 12.0, 16.0, -2.0, 12.0, 0.0, 10.0, -2.0, 10.0, -2.0, 10.0, -4.0, 8.0, 0.0, 8.0, -2.0, 12.0, -6.0, 12.0, -4.0, 8.0, 0.0, 6.0, -4.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 255.0, 1837.0, 478.0, 181.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 181.0, 478.0, 1837.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1837.0, 39472.0, 24942.0, 1837.0, 390527.0, -24942.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
